# NED distances 
#
# name   = galaxy name
# RA,DEC = RA, DEC (J2000) [in degrees]
# mu     = distance modulus (+error) derived from z [in mag]
# D      = mean distance (+error) [in Mpc]
# minD   = min distance in NED [in Mpc]
# maxD   = max distance in NED [in Mpc]
# Vhel   = Heliocentric velocity [in kms]
# A_V    = foreground extinction [in mag] from Schlafly+ '11
#
# Total number of galaxies: 1
#
###########################################################################################################################
#name           |     RA[deg]  |    DEC[deg]  |     mu[mag]  |      mu_err |       D[Mpc]  |       D_err  |    minD[Mpc] |    maxD[Mpc] |    Vhel[kms] |     Vhel_err |    A_V[mag] 
         PGC627 |     2.087333 |   -29.915001 |    31.559999 |     0.240000 |    20.615000 |     2.260000 |    17.100000 |    23.600000 |  1495.000000 |     2.000000 |     0.039000
         PGC642 |     2.177083 |    37.447918 |    33.680000 |     0.150000 |    54.700001 |     3.710000 |    51.299999 |    59.500000 |  4389.000000 |    20.000000 |     0.216000
         PGC644 |     2.205042 |    24.540333 |    34.320000 |     0.220000 |    73.500000 |     7.400000 |    65.500000 |    80.099998 |  4581.000000 |    10.000000 |     0.179000
         PGC645 |     2.186458 |     4.612528 |    33.400002 |          NaN |    47.000000 |          NaN |    47.000000 |    47.000000 |  3941.000000 |     4.000000 |     0.085000
         PGC647 |     2.193333 |    15.815556 |    29.670000 |     1.240000 |     9.265000 |     0.999000 |     5.730000 |    12.800000 |   865.000000 |     1.000000 |     0.213000
         PGC649 |     2.199750 |    -2.411750 |     0.000000 |     0.000000 |          NaN |          NaN |          NaN |          NaN |  3708.000000 |    45.000000 |     0.104000
         PGC650 |     2.198833 |    33.433334 |    33.950001 |     0.110000 |    61.673000 |     2.970000 |    55.599998 |    65.699997 |  4808.000000 |     9.000000 |     0.118000
         PGC652 |     2.227917 |    23.816973 |    33.150002 |     0.460000 |    43.525002 |     9.480000 |    35.400002 |    56.200001 |  4528.000000 |    10.000000 |     0.261000
         PGC654 |     2.268375 |    25.618610 |    34.330002 |     0.180000 |    73.633003 |     5.900000 |    67.599998 |    79.400002 |  4336.000000 |     2.000000 |     0.103000
         PGC660 |     2.267875 |    27.729418 |    32.720001 |     0.830000 |    37.417000 |    16.799999 |    22.200001 |    70.500000 |  3100.000000 |    17.000000 |     0.137000
         PGC663 |     2.251000 |    -2.382306 |     0.000000 |     0.000000 |          NaN |          NaN |          NaN |          NaN |  3708.000000 |    45.000000 |     0.102000
         PGC667 |     2.296194 |   -60.111343 |     0.000000 |     0.000000 |          NaN |          NaN |          NaN |          NaN |  4631.000000 |    45.000000 |     0.026000
         PGC695 |     2.469982 |   -64.372086 |    32.209999 |     0.490000 |    28.240000 |     6.220000 |    20.200001 |    36.099998 |  1831.000000 |    10.000000 |     0.055000
         PGC696 |     2.466272 |     4.675062 |     0.000000 |     0.000000 |          NaN |          NaN |          NaN |          NaN |  4020.000000 |    28.000000 |     0.074000
         PGC697 |     2.471157 |    15.734664 |     0.000000 |     0.000000 |          NaN |          NaN |          NaN |          NaN |   869.000000 |    22.000000 |     0.187000
         PGC698 |     2.472542 |    25.923779 |    33.740002 |     0.240000 |    56.221001 |     6.000000 |    41.599998 |    65.000000 |  4566.000000 |     2.000000 |     0.105000
         PGC701 |     2.485583 |   -24.963139 |    29.120001 |     1.400000 |     7.542000 |     0.557000 |     0.986000 |    10.900000 |   554.000000 |     2.000000 |     0.053000
         PGC703 |     2.507083 |    16.940832 |     0.000000 |     0.000000 |          NaN |          NaN |          NaN |          NaN |   908.000000 |     5.000000 |     0.145000
         PGC714 |     2.528292 |    -6.321167 |     0.000000 |     0.000000 |          NaN |          NaN |          NaN |          NaN |  3850.000000 |    12.000000 |     0.087000
         PGC721 |     2.574044 |   -18.264086 |    31.430000 |          NaN |    19.299999 |          NaN |    19.299999 |    19.299999 |  1545.000000 |     3.000000 |     0.086000
         PGC726 |     2.569542 |    30.849472 |     0.000000 |     0.000000 |          NaN |          NaN |          NaN |          NaN |  4951.000000 |     4.000000 |     0.157000
         PGC732 |     2.607792 |    25.831833 |    34.119999 |     0.260000 |    67.236000 |     8.060000 |    57.099998 |    79.599998 |  4592.000000 |     2.000000 |     0.105000
         PGC757 |     2.670417 |    13.709167 |    31.870001 |          NaN |    23.700001 |          NaN |    23.700001 |    23.700001 |  1741.000000 |     1.000000 |     0.182000
         PGC759 |     2.670292 |    32.983082 |    34.000000 |     0.310000 |    63.750000 |     8.150000 |    43.200001 |    72.599998 |  4788.000000 |     3.000000 |     0.116000
         PGC767 |     2.695417 |    33.352833 |    34.290001 |     0.210000 |    72.385002 |     6.850000 |    61.400002 |    82.900002 |  4770.000000 |     4.000000 |     0.106000
         PGC776 |     2.751548 |    22.402575 |     0.000000 |     0.000000 |          NaN |          NaN |          NaN |          NaN |     0.000000 |          NaN |     0.168000
         PGC800 |     2.853458 |   -41.398224 |    32.110001 |     0.390000 |    26.750000 |     4.590000 |    19.000000 |    33.799999 |  1467.000000 |     6.000000 |     0.029000
         PGC803 |     2.862053 |   -63.128696 |     0.000000 |     0.000000 |          NaN |          NaN |          NaN |          NaN |  3927.000000 |    64.000000 |     0.047000
         PGC809 |     2.905437 |   -36.938148 |     0.000000 |     0.000000 |          NaN |          NaN |          NaN |          NaN |  1932.000000 |     6.000000 |     0.048000
